xflr5 v6.61

Plane name :, Wing
Polar name :, T1-22.0 m/s-LLT
Freestream speed :, 22.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.236660,   0.002690,   0.037114,   0.039804,   0.000000,   0.000000,  -0.022671,   0.000000,   0.000000,   22.0000,   -0.0282
   -9.900,     0.000,  -0.232911,   0.002606,   0.035535,   0.038141,   0.000000,   0.000000,  -0.023550,   0.000000,  -0.000000,   22.0000,   -0.0296
   -9.800,     0.000,  -0.229697,   0.002516,   0.033836,   0.036353,   0.000000,   0.000000,  -0.024236,   0.000000,   0.000000,   22.0000,   -0.0308
   -9.700,     0.000,  -0.227620,   0.002452,   0.031492,   0.033944,   0.000000,   0.000000,  -0.024596,   0.000000,   0.000000,   22.0000,   -0.0314
   -9.600,     0.000,  -0.225762,   0.002386,   0.029007,   0.031393,   0.000000,   0.000000,  -0.024862,   0.000000,   0.000000,   22.0000,   -0.0319
   -9.500,     0.000,  -0.223340,   0.002313,   0.026770,   0.029082,   0.000000,   0.000000,  -0.025259,   0.000000,   0.000000,   22.0000,   -0.0327
   -9.400,     0.000,  -0.219053,   0.002218,   0.025305,   0.027523,   0.000000,   0.000000,  -0.026069,   0.000000,  -0.000000,   22.0000,   -0.0342
   -9.300,     0.000,  -0.213681,   0.002110,   0.024295,   0.026405,   0.000000,   0.000000,  -0.027121,   0.000000,   0.000000,   22.0000,   -0.0363
   -9.200,     0.000,  -0.208043,   0.001995,   0.023394,   0.025389,   0.000000,  -0.000000,  -0.028221,   0.000000,  -0.000000,   22.0000,   -0.0386
   -9.100,     0.000,  -0.202209,   0.001881,   0.022548,   0.024429,   0.000000,   0.000000,  -0.029372,   0.000000,   0.000000,   22.0000,   -0.0412
   -9.000,     0.000,  -0.196067,   0.001764,   0.021862,   0.023626,   0.000000,   0.000000,  -0.030663,   0.000000,   0.000000,   22.0000,   -0.0442
   -8.900,     0.000,  -0.189342,   0.001643,   0.021489,   0.023132,   0.000000,   0.000000,  -0.032191,   0.000000,   0.000000,   22.0000,   -0.0479
   -8.800,     0.000,  -0.181888,   0.001519,   0.021440,   0.022960,   0.000000,   0.000000,  -0.033974,   0.000000,   0.000000,   22.0000,   -0.0524
   -8.700,     0.000,  -0.174147,   0.001396,   0.021508,   0.022905,   0.000000,   0.000000,  -0.035838,   0.000000,   0.000000,   22.0000,   -0.0575
   -8.600,     0.000,  -0.166434,   0.001278,   0.021507,   0.022785,   0.000000,   0.000000,  -0.037653,   0.000000,   0.000000,   22.0000,   -0.0630
   -8.500,     0.000,  -0.158932,   0.001168,   0.021313,   0.022481,   0.000000,   0.000000,  -0.039336,   0.000000,   0.000000,   22.0000,   -0.0687
   -8.400,     0.000,  -0.151742,   0.001066,   0.020830,   0.021896,   0.000000,   0.000000,  -0.040835,   0.000000,   0.000000,   22.0000,   -0.0745
   -8.300,     0.000,  -0.144804,   0.000970,   0.020152,   0.021122,   0.000000,  -0.000000,  -0.042202,   0.000000,   0.000000,   22.0000,   -0.0806
   -8.200,     0.000,  -0.137923,   0.000879,   0.019349,   0.020228,   0.000000,   0.000000,  -0.043514,   0.000000,   0.000000,   22.0000,   -0.0871
   -8.100,     0.000,  -0.131000,   0.000793,   0.018480,   0.019273,   0.000000,   0.000000,  -0.044820,   0.000000,  -0.000000,   22.0000,   -0.0943
   -8.000,     0.000,  -0.123944,   0.000710,   0.017607,   0.018317,   0.000000,   0.000000,  -0.046163,   0.000000,   0.000000,   22.0000,   -0.1025
   -7.900,     0.000,  -0.116718,   0.000630,   0.016788,   0.017417,   0.000000,   0.000000,  -0.047565,   0.000000,   0.000000,   22.0000,   -0.1120
   -7.800,     0.000,  -0.109321,   0.000553,   0.016062,   0.016615,   0.000000,   0.000000,  -0.049042,   0.000000,  -0.000000,   22.0000,   -0.1232
   -7.700,     0.000,  -0.101811,   0.000480,   0.015430,   0.015910,   0.000000,   0.000000,  -0.050566,   0.000000,   0.000000,   22.0000,   -0.1362
   -7.600,     0.000,  -0.094226,   0.000412,   0.014881,   0.015293,   0.000000,   0.000000,  -0.052122,   0.000000,  -0.000000,   22.0000,   -0.1515
   -7.500,     0.000,  -0.086595,   0.000349,   0.014397,   0.014746,   0.000000,   0.000000,  -0.053696,   0.000000,   0.000000,   22.0000,   -0.1699
   -7.400,     0.000,  -0.078944,   0.000291,   0.013961,   0.014251,   0.000000,   0.000000,  -0.055281,   0.000000,   0.000000,   22.0000,   -0.1918
