xflr5 v6.61

Plane name :        0025
Polar name :        T1-18.8 m/s-VLM
Freestream speed :  18.800 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.101143   0.004229   0.009160   0.013388  -0.000000   0.000000   0.015080   0.000000   0.000000   18.8000     0.1181
   -4.500     0.000  -0.091105   0.003429   0.009152   0.012581  -0.000000   0.000000   0.013599   0.000000   0.000000   18.8000     0.1181
   -4.000     0.000  -0.081041   0.002712   0.009154   0.011866  -0.000000   0.000000   0.012114   0.000000  -0.000000   18.8000     0.1182
   -3.500     0.000  -0.070952   0.002078   0.009153   0.011231  -0.000000   0.000000   0.010625  -0.000000   0.000000   18.8000     0.1184
   -3.000     0.000  -0.060843   0.001528   0.009146   0.010674  -0.000000   0.000000   0.009133  -0.000000   0.000000   18.8000     0.1186
   -2.500     0.000  -0.050715   0.001062   0.009152   0.010213  -0.000000   0.000000   0.007638  -0.000000   0.000000   18.8000     0.1189
   -2.000     0.000  -0.040573   0.000680   0.009145   0.009825  -0.000000   0.000000   0.006141  -0.000000   0.000000   18.8000     0.1194
   -1.500     0.000  -0.030418   0.000382   0.009138   0.009520  -0.000000   0.000000   0.004642  -0.000000   0.000000   18.8000     0.1204
   -1.000     0.000  -0.020255   0.000170   0.009150   0.009321  -0.000000   0.000000   0.003142   0.000000  -0.000000   18.8000     0.1223
   -0.500     0.000  -0.010086   0.000043   0.009142   0.009185  -0.000000   0.000000   0.001641   0.000000   0.000000   18.8000     0.1280
    0.000     0.000   0.000086   0.000001   0.009127   0.009128   0.000000   0.000000   0.000140  -0.000000  -0.000000   18.8000    -1.2239
    0.500     0.000   0.010259   0.000044   0.009142   0.009186   0.000000   0.000000  -0.001362  -0.000000   0.000000   18.8000     0.1052
    1.000     0.000   0.020428   0.000172   0.009150   0.009322  -0.000000  -0.000000  -0.002863   0.000000   0.000000   18.8000     0.1109
    1.500     0.000   0.030591   0.000385   0.009138   0.009523  -0.000000  -0.000000  -0.004364   0.000000   0.000000   18.8000     0.1128
    2.000     0.000   0.040746   0.000683   0.009145   0.009829  -0.000000  -0.000000  -0.005863  -0.000000  -0.000000   18.8000     0.1137
    2.500     0.000   0.050888   0.001066   0.009152   0.010218  -0.000000  -0.000000  -0.007360   0.000000  -0.000000   18.8000     0.1144
    3.000     0.000   0.061015   0.001533   0.009146   0.010680  -0.000000  -0.000000  -0.008855  -0.000000   0.000000   18.8000     0.1148
    3.500     0.000   0.071124   0.002084   0.009155   0.011239  -0.000000  -0.000000  -0.010347   0.000000  -0.000000   18.8000     0.1151
    4.000     0.000   0.081213   0.002719   0.009156   0.011875  -0.000000  -0.000000  -0.011836   0.000000   0.000000   18.8000     0.1154
    4.500     0.000   0.091277   0.003437   0.009154   0.012590  -0.000000  -0.000000  -0.013322   0.000000   0.000000   18.8000     0.1156
    5.000     0.000   0.101315   0.004237   0.009161   0.013398  -0.000000  -0.000000  -0.014804  -0.000000   0.000000   18.8000     0.1158
    5.500     0.000   0.111322   0.005120   0.009160   0.014280  -0.000000  -0.000000  -0.016281  -0.000000  -0.000000   18.8000     0.1160
    6.000     0.000   0.121297   0.006083   0.009166   0.015250  -0.000000  -0.000000  -0.017753   0.000000   0.000000   18.8000     0.1162
    6.500     0.000   0.131237   0.007128   0.009178   0.016305  -0.000000  -0.000000  -0.019221   0.000000   0.000000   18.8000     0.1164
    7.000     0.000   0.141138   0.008252   0.009188   0.017440  -0.000000  -0.000000  -0.020682   0.000000   0.000000   18.8000     0.1165
    7.500     0.000   0.150998   0.009454   0.009203   0.018657  -0.000000  -0.000000  -0.022137  -0.000000   0.000000   18.8000     0.1167
    8.000     0.000   0.160814   0.010735   0.009221   0.019957  -0.000000  -0.000000  -0.023586  -0.000000   0.000000   18.8000     0.1169
    8.500     0.000   0.170583   0.012093   0.009243   0.021336  -0.000000  -0.000000  -0.025028  -0.000000   0.000000   18.8000     0.1171
    9.000     0.000   0.180302   0.013527   0.009262   0.022789  -0.000000  -0.000000  -0.026462  -0.000000  -0.000000   18.8000     0.1173
    9.500     0.000   0.189968   0.015035   0.009286   0.024321  -0.000000  -0.000000  -0.027889   0.000000   0.000000   18.8000     0.1175
   10.000     0.000   0.199580   0.016618   0.009316   0.025934  -0.000000  -0.000000  -0.029308   0.000000   0.000000   18.8000     0.1177
   10.500     0.000   0.209134   0.018273   0.009339   0.027611  -0.000000  -0.000000  -0.030717   0.000000  -0.000000   18.8000     0.1179
   11.000     0.000   0.218627   0.019999   0.009365   0.029363  -0.000000  -0.000000  -0.032118  -0.000000  -0.000000   18.8000     0.1181
   11.500     0.000   0.228058   0.021795   0.009397   0.031192  -0.000000  -0.000000  -0.033509   0.000000   0.000000   18.8000     0.1183
   12.000     0.000   0.237422   0.023659   0.009427   0.033086  -0.000000  -0.000000  -0.034890   0.000000   0.000000   18.8000     0.1185
   12.500     0.000   0.246719   0.025591   0.009455   0.035046  -0.000000  -0.000000  -0.036261   0.000000   0.000000   18.8000     0.1187
   13.000     0.000   0.255945   0.027588   0.009489   0.037077  -0.000000  -0.000000  -0.037621   0.000000   0.000000   18.8000     0.1190
   13.500     0.000   0.265098   0.029649   0.009525   0.039174  -0.000000  -0.000000  -0.038970  -0.000000  -0.000000   18.8000     0.1192
   14.000     0.000   0.274175   0.031773   0.009559   0.041332  -0.000000  -0.000000  -0.040308   0.000000   0.000000   18.8000     0.1195
   14.500     0.000   0.283174   0.033958   0.009593   0.043550  -0.000000  -0.000000  -0.041633  -0.000000  -0.000000   18.8000     0.1197
   15.000     0.000   0.292094   0.036202   0.009632   0.045833  -0.000000  -0.000000  -0.042946  -0.000000  -0.000000   18.8000     0.1200
   15.500     0.000   0.300930   0.038503   0.009671   0.048174  -0.000000  -0.000000  -0.044247   0.000000  -0.000000   18.8000     0.1203
   16.000     0.000   0.309683   0.040860   0.009711   0.050571  -0.000000  -0.000000  -0.045534   0.000000   0.000000   18.8000     0.1206
   16.500     0.000   0.318348   0.043271   0.009750   0.053021  -0.000000  -0.000000  -0.046808   0.000000   0.000000   18.8000     0.1209
   17.000     0.000   0.326924   0.045734   0.009797   0.055531  -0.000000  -0.000000  -0.048068   0.000000   0.000000   18.8000     0.1212
   17.500     0.000   0.335409   0.048247   0.009842   0.058090  -0.000000  -0.000000  -0.049314   0.000000   0.000000   18.8000     0.1215
   18.000     0.000   0.343801   0.050808   0.009885   0.060693  -0.000000  -0.000000  -0.050545   0.000000   0.000000   18.8000     0.1218
   18.500     0.000   0.352098   0.053416   0.009929   0.063344  -0.000000  -0.000000  -0.051761   0.000000   0.000000   18.8000     0.1221
   19.000     0.000   0.360297   0.056067   0.009981   0.066048  -0.000000  -0.000000  -0.052963   0.000000   0.000000   18.8000     0.1225
   19.500     0.000   0.368398   0.058761   0.010031   0.068792  -0.000000  -0.000000  -0.054148   0.000000  -0.000000   18.8000     0.1228
   20.000     0.000   0.376398   0.061495   0.010079   0.071574  -0.000000  -0.000000  -0.055318  -0.000000  -0.000000   18.8000     0.1232


