S7055
T1-18.8 m/s-LLT
Freestream speed = 18.800 m/s


 Ctrl        α (°)        β (°)        φ (°)        CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF (N)    Fy_FF (N)    Fz_FF (N)    Fx_sum (N)   Fy_sum (N)   Fz_sum (N)   Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)    
          0           -5            0            0     -0.10947     0.020435     0.019877   0.00055843            0    -0.053565            0    -0.053565   5.7312e-19   2.1818e-19   1.6032e-19   5.7858e-20      -5.3568      -1.7724            0      -11.721       2.1881     -0.96202            0      -11.682            0            0            0            0            0            0       18.481            0         18.8      -10.574   1.2335e-16      -1.5216   3.6111e-17          nan          nan          nan      -2.6731            0       41.137      0.90608          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -4.8            0            0     -0.09429     0.019848     0.019431   0.00041752            0    -0.056739            0    -0.056739   2.1944e-19   1.4184e-19   1.2323e-19   1.8605e-20      -4.7505      -1.4587            0      -10.096       2.1253     -0.80027            0      -10.064            0            0            0            0            0            0       18.397            0         18.8      -11.887   4.7162e-17      -1.6118   2.6521e-17          nan          nan          nan      -2.3085            0       39.955      0.89911          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -4.6            0            0    -0.080643     0.018706       0.0184   0.00030626            0    -0.059453            0    -0.059453  -4.0683e-20        1e-19   1.0132e-19  -1.3156e-21       -4.311      -1.2242            0      -8.6349        2.003     -0.65982            0      -8.6097            0            0            0            0            0            0       18.314            0         18.8       -13.06  -8.7068e-18      -1.6889   2.2185e-17          nan          nan          nan      -1.9721            0       37.656      0.89661          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -4.4            0            0    -0.066254     0.017906     0.017699    0.0002069            0     -0.06259            0     -0.06259   2.2961e-19   1.1703e-19   9.7966e-20   1.9061e-20      -3.7001     -0.95239            0      -7.0941       1.9173     -0.52217            0      -7.0749            0            0            0            0            0            0       18.149            0         18.8      -15.124   4.9339e-17       -1.778   2.1339e-17          nan          nan          nan      -1.6166            0       36.045      0.89582          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -4.2            0            0    -0.051258     0.017384     0.017258   0.00012554            0     -0.06593            0     -0.06593   4.4092e-19   1.2253e-19   8.9544e-20   3.2987e-20      -2.9486     -0.66756            0      -5.4885       1.8614     -0.38856            0      -5.4747            0            0            0            0            0            0       17.804            0         18.8      -18.734   9.4687e-17      -1.8729   1.9357e-17          nan          nan          nan      -1.2496            0       34.994      0.88367          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0           -4            0            0    -0.035825     0.016868     0.016805   6.2848e-05            0    -0.069359            0    -0.069359   2.8389e-19   1.6711e-19   1.4702e-19   2.0081e-20      -2.1239       -0.402            0      -3.8359       1.8061     -0.26087            0      -3.8271            0            0            0            0            0            0       17.009            0         18.8      -25.213   6.0948e-17      -1.9703   3.1611e-17          nan          nan          nan     -0.87275            0       33.954      0.86224          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -3.8            0            0    -0.020336     0.016374     0.016353   2.1491e-05            0    -0.072812            0    -0.072812    2.324e-19   1.0027e-19   8.4517e-20   1.5751e-20      -1.2419      -0.1771            0      -2.1775       1.7533     -0.14201            0      -2.1728            0            0            0            0            0            0       14.643            0         18.8      -38.841   4.9883e-17      -2.0684   1.8206e-17          nan          nan          nan     -0.49559            0       32.962      0.81252          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -3.6            0            0   -0.0047534     0.015898     0.015897   1.6713e-06            0    -0.076287            0    -0.076287   1.2448e-19   9.7504e-20   8.9608e-20   7.8957e-21     -0.29899    -0.020614            0     -0.50897       1.7023     -0.03178            0     -0.50798            0            0            0            0            0            0       5.3855            0         18.8      -73.354    2.671e-17      -2.1671   1.9241e-17          nan          nan          nan     -0.11557            0       32.003      0.57084          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -3.4            0            0     0.011084      0.01545     0.015446   4.0868e-06            0    -0.079847            0    -0.079847  -1.1796e-19   8.2677e-20   8.9627e-20  -6.9505e-21       0.7174     0.075528       9.4985       1.1868       1.6543     0.070821            0       1.1847            0            0            0            0            0            0       10.959            0         18.8       54.344  -2.5304e-17      -2.2682    1.924e-17          nan          nan          nan      0.26989            0       31.101       1.2693          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -3.2            0            0     0.026741     0.015062     0.015034   2.8608e-05            0    -0.083365            0    -0.083365  -2.5204e-19   8.5969e-20   9.9794e-20  -1.3825e-20       1.7754      0.29032       6.1152       2.8633       1.6128      0.16289            0       2.8587            0            0            0            0            0            0        16.38            0         18.8       29.391  -5.4055e-17      -2.3681   2.1461e-17          nan          nan          nan      0.65146            0        30.32       1.0554          nan            0            0            0            0            0            0            0            0            0            0            0            0  
